aba;secao;px_width;linha;sistema;campo;titulo_pt;titulo_en;titulo_es;tipo;opcoes;consulta_tabela;tamanho;editavel_adc;obrigatorio_adc;oculto_adc;editavel_alt;obrigatorio_alt;oculto_alt;editavel_bloq;obrigatorio_bloq;oculto_bloq;editavel_cons;obrigatorio_cons;oculto_cons;integracao;fluig_salva
DADOS ADICIONAIS;--;100;1;Protheus;BZ_LOCALIZ;Contr.Endere;Contr.Direcc;Address Cont;zoom;{'displayKey':'CODIGO', 'datasetId':'dts_DC5', 'fields':[{'field':'CODIGO', 'label':'Codigo'},{'field':'DESCRICAO', 'search': 'true', 'label':'Descricao'}]};DC5   ;3;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_CTRWMS ;Ctr WMS     ;Ctr WMS     ;WMS Ctr     ;zoom;{'displayKey':'CODIGO', 'datasetId':'dts_DC5', 'fields':[{'field':'CODIGO', 'label':'Codigo'},{'field':'DESCRICAO', 'search': 'true', 'label':'Descricao'}]};DC5   ;3;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_UMDIPI ;UMDIPI      ;UMDIPI      ;UMDIPI      ;zoom;{'displayKey':'CODIGO', 'datasetId':'dts_DC4', 'fields':[{'field':'CODIGO', 'label':'Codigo'},{'field':'DESCRICAO', 'search': 'true', 'label':'Descricao'}]};DC4   ;6;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_CONVDIP;Conv. DIPI  ;Conv. DIPI  ;DIPI Conv.  ;select;1=Sim | 2=Nao                                                                                                                     ;      ;1;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_TPHOFIX;Tipo Hor Fix;Tipo Hor Fij;Fix Hor Type;number;;      ;2;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_HORFIX ;Horiz. Fixo ;Horiz. Fijo ;Fixed Horiz ;number;;      ;14;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_CSLL   ;Retem CSLL  ;Retiene CSLL;With CSLL   ;number;;      ;11;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_MRP    ;Entra MRP   ;Entra MRP   ;Enters MRP  ;number;;      ;6;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_FANTASM;Fantasma    ;Fantasma    ;Ghost       ;select;1=Sim | 2=Nao                                                                                                                     ;      ;1;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_QBP    ;Base Pre-Es.;Base Est Pre;Pre-str base;text;;      ;2;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_LOCALI2;End. Padrão ;Direc. Están;Stand Addres;zoom;{'displayKey':'CODIGO', 'datasetId':'dts_DY3', 'fields':[{'field':'CODIGO', 'label':'Codigo'},{'field':'DESCRICAO', 'search': 'true', 'label':'Descricao'}]};DY3   ;4;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_IMPNCM ;Aliq. de Imp;Alíc. de Imp;Tax Rate    ;number;;      ;7;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_FCIPRV ;Pr. Est. FCI;Pr. Est. FCI;FCI Est Pr  ;number;;      ;12;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_AFUNDES;Alq. FUNDESA;Alc. FUNDESA;FUNDESA Rate;number;;      ;7;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_HABDIF ;Hab. Dif.   ;Lic. C. Pror;Doc         ;text;;      ;30;;;;;;;;;;;;;;
DADOS ADICIONAIS;--;100;1;Protheus;BZ_REVATU ;Rev.Estrut  ;Rev.Estruct ;Struc Rev   ;text;;      ;5;;;;;;;;;;;;;;
